Plot,Date,Observers,Transect,Meter,Cover type,Cover class,Midpoint value
DES1014,5/25/2014,JV,E,14,Crust,0,0
DES1014,5/25/2014,JV,E,16,Cheatgrass,0,0
DES1014,5/25/2014,JV,E,16,Other Ann Grass,0,0
DES1014,5/25/2014,JV,E,16,Perennial grass,0,0
DES1014,5/25/2014,JV,E,16,Annual forb,0,0
DES1014,5/25/2014,JV,E,16,Perennial forb ,0,0
DES1014,5/25/2014,JV,E,16,Shrub ,1,2.5
DES1014,5/25/2014,JV,E,16,Bare Ground,0,0
DES1014,5/25/2014,JV,E,16,Litter,6,97.5
DES1014,5/25/2014,JV,E,16,Gravel,0,0
DES1014,5/25/2014,JV,E,16,Rock,0,0
DES1014,5/25/2014,JV,E,16,Crust,0,0
DES1014,5/25/2014,JV,N,5,Cheatgrass,0,0
DES1014,5/25/2014,JV,N,5,Other Ann Grass,0,0
DES1014,5/25/2014,JV,N,5,Perennial grass,0,0
DES1014,5/25/2014,JV,N,5,Annual forb,0,0
DES1014,5/25/2014,JV,N,5,Perennial forb ,0,0
DES1014,5/25/2014,JV,N,5,Shrub ,0,0
DES1014,5/25/2014,JV,N,5,Bare Ground,2,15
DES1014,5/25/2014,JV,N,5,Litter,3,37.5
DES1014,5/25/2014,JV,N,5,Gravel,0,0
DES1014,5/25/2014,JV,N,5,Rock,1,2.5
DES1014,5/25/2014,JV,N,5,Crust,0,0
DES1014,5/25/2014,JV,N,7,Cheatgrass,0,0
DES1014,5/25/2014,JV,N,7,Other Ann Grass,0,0
DES1014,5/25/2014,JV,N,7,Perennial grass,0,0
DES1014,5/25/2014,JV,N,7,Annual forb,0,0
DES1014,5/25/2014,JV,N,7,Perennial forb ,1,2.5
DES1014,5/25/2014,JV,N,7,Shrub ,0,0
DES1014,5/25/2014,JV,N,7,Bare Ground,0,0
DES1014,5/25/2014,JV,N,7,Litter,6,97.5
DES1014,5/25/2014,JV,N,7,Gravel,0,0
DES1014,5/25/2014,JV,N,7,Rock,1,2.5
DES1014,5/25/2014,JV,N,7,Crust,0,0
DES1014,5/25/2014,JV,N,11,Cheatgrass,0,0
DES1014,5/25/2014,JV,N,11,Other Ann Grass,0,0
DES1014,5/25/2014,JV,N,11,Perennial grass,1,2.5
DES1014,5/25/2014,JV,N,11,Annual forb,0,0
DES1014,5/25/2014,JV,N,11,Perennial forb ,0,0
DES1014,5/25/2014,JV,N,11,Shrub ,0,0
DES1014,5/25/2014,JV,N,11,Bare Ground,0,0
DES1014,5/25/2014,JV,N,11,Litter,6,97.5
DES1014,5/25/2014,JV,N,11,Gravel,0,0
DES1014,5/25/2014,JV,N,11,Rock,0,0
DES1014,5/25/2014,JV,N,11,Crust,0,0
DES1014,5/25/2014,JV,N,14,Cheatgrass,0,0
DES1014,5/25/2014,JV,N,14,Other Ann Grass,0,0
DES1014,5/25/2014,JV,N,14,Perennial grass,1,2.5
DES1014,5/25/2014,JV,N,14,Annual forb,0,0
DES1014,5/25/2014,JV,N,14,Perennial forb ,0,0
DES1014,5/25/2014,JV,N,14,Shrub ,0,0
DES1014,5/25/2014,JV,N,14,Bare Ground,1,2.5
DES1014,5/25/2014,JV,N,14,Litter,6,97.5
DES1014,5/25/2014,JV,N,14,Gravel,0,0
DES1014,5/25/2014,JV,N,14,Rock,0,0
DES1014,5/25/2014,JV,N,14,Crust,0,0
DES1014,5/25/2014,JV,N,15,Cheatgrass,1,2.5
DES1014,5/25/2014,JV,N,15,Other Ann Grass,0,0
DES1014,5/25/2014,JV,N,15,Perennial grass,1,2.5
DES1014,5/25/2014,JV,N,15,Annual forb,0,0
DES1014,5/25/2014,JV,N,15,Perennial forb ,1,2.5
DES1014,5/25/2014,JV,N,15,Shrub ,0,0
DES1014,5/25/2014,JV,N,15,Bare Ground,1,2.5
DES1014,5/25/2014,JV,N,15,Litter,2,15
DES1014,5/25/2014,JV,N,15,Gravel,0,0
DES1014,5/25/2014,JV,N,15,Rock,0,0
DES1014,5/25/2014,JV,N,15,Crust,0,0
DES1014,5/25/2014,JV,S,6,Cheatgrass,0,0
DES1014,5/25/2014,JV,S,6,Other Ann Grass,0,0
DES1014,5/25/2014,JV,S,6,Perennial grass,1,2.5
DES1014,5/25/2014,JV,S,6,Annual forb,1,2.5
DES1014,5/25/2014,JV,S,6,Perennial forb ,1,2.5
DES1014,5/25/2014,JV,S,6,Shrub ,1,2.5
DES1014,5/25/2014,JV,S,6,Bare Ground,1,2.5
DES1014,5/25/2014,JV,S,6,Litter,3,37.5
DES1014,5/25/2014,JV,S,6,Gravel,0,0
DES1014,5/25/2014,JV,S,6,Rock,1,2.5
DES1014,5/25/2014,JV,S,6,Crust,0,0
DES1014,5/25/2014,JV,S,7,Cheatgrass,0,0
DES1014,5/25/2014,JV,S,7,Other Ann Grass,0,0
DES1014,5/25/2014,JV,S,7,Perennial grass,1,2.5
DES1014,5/25/2014,JV,S,7,Annual forb,1,2.5
DES1014,5/25/2014,JV,S,7,Perennial forb ,1,2.5
DES1014,5/25/2014,JV,S,7,Shrub ,0,0
DES1014,5/25/2014,JV,S,7,Bare Ground,0,0
DES1014,5/25/2014,JV,S,7,Litter,2,15
DES1014,5/25/2014,JV,S,7,Gravel,0,0
DES1014,5/25/2014,JV,S,7,Rock,2,15
DES1014,5/25/2014,JV,S,7,Crust,0,0
DES1014,5/25/2014,JV,S,11,Cheatgrass,0,0
DES1014,5/25/2014,JV,S,11,Other Ann Grass,0,0
DES1014,5/25/2014,JV,S,11,Perennial grass,0,0
DES1014,5/25/2014,JV,S,11,Annual forb,1,2.5
DES1014,5/25/2014,JV,S,11,Perennial forb ,0,0
DES1014,5/25/2014,JV,S,11,Shrub ,0,0
DES1014,5/25/2014,JV,S,11,Bare Ground,3,37.5
DES1014,5/25/2014,JV,S,11,Litter,2,15
DES1014,5/25/2014,JV,S,11,Gravel,0,0
DES1014,5/25/2014,JV,S,11,Rock,0,0
DES1014,5/25/2014,JV,S,11,Crust,0,0
DES1014,5/25/2014,JV,S,13,Cheatgrass,0,0
DES1014,5/25/2014,JV,S,13,Other Ann Grass,0,0
DES1014,5/25/2014,JV,S,13,Perennial grass,0,0
DES1014,5/25/2014,JV,S,13,Annual forb,1,2.5
DES1014,5/25/2014,JV,S,13,Perennial forb ,0,0
DES1014,5/25/2014,JV,S,13,Shrub ,0,0
DES1014,5/25/2014,JV,S,13,Bare Ground,5,85
DES1014,5/25/2014,JV,S,13,Litter,1,2.5
DES1014,5/25/2014,JV,S,13,Gravel,0,0
DES1014,5/25/2014,JV,S,13,Rock,0,0
DES1014,5/25/2014,JV,S,13,Crust,0,0
DES1014,5/25/2014,JV,S,16,Cheatgrass,0,0
DES1014,5/25/2014,JV,S,16,Other Ann Grass,0,0
DES1014,5/25/2014,JV,S,16,Perennial grass,1,2.5
DES1014,5/25/2014,JV,S,16,Annual forb,1,2.5
DES1014,5/25/2014,JV,S,16,Perennial forb ,1,2.5
DES1014,5/25/2014,JV,S,16,Shrub ,0,0
DES1014,5/25/2014,JV,S,16,Bare Ground,0,0
DES1014,5/25/2014,JV,S,16,Litter,6,97.5
DES1014,5/25/2014,JV,S,16,Gravel,0,0
DES1014,5/25/2014,JV,S,16,Rock,1,2.5
DES1014,5/25/2014,JV,S,16,Crust,0,0
DES1014,5/25/2014,JV,W,3,Cheatgrass,0,0
DES1014,5/25/2014,JV,W,3,Other Ann Grass,0,0
DES1014,5/25/2014,JV,W,3,Perennial grass,0,0
DES1014,5/25/2014,JV,W,3,Annual forb,1,2.5
DES1014,5/25/2014,JV,W,3,Perennial forb ,0,0
DES1014,5/25/2014,JV,W,3,Shrub ,0,0
DES1014,5/25/2014,JV,W,3,Bare Ground,0,0
DES1014,5/25/2014,JV,W,3,Litter,6,97.5
DES1014,5/25/2014,JV,W,3,Gravel,0,0
DES1014,5/25/2014,JV,W,3,Rock,1,2.5
DES1014,5/25/2014,JV,W,3,Crust,0,0
DES1014,5/25/2014,JV,W,4,Cheatgrass,0,0
DES1014,5/25/2014,JV,W,4,Other Ann Grass,0,0
DES1014,5/25/2014,JV,W,4,Perennial grass,1,2.5
DES1014,5/25/2014,JV,W,4,Annual forb,0,0
DES1014,5/25/2014,JV,W,4,Perennial forb ,0,0
DES1014,5/25/2014,JV,W,4,Shrub ,3,37.5
DES1014,5/25/2014,JV,W,4,Bare Ground,0,0
DES1014,5/25/2014,JV,W,4,Litter,3,37.5
DES1014,5/25/2014,JV,W,4,Gravel,0,0
DES1014,5/25/2014,JV,W,4,Rock,4,62.5
DES1014,5/25/2014,JV,W,4,Crust,0,0
DES1014,5/25/2014,JV,W,5,Cheatgrass,0,0
DES1014,5/25/2014,JV,W,5,Other Ann Grass,0,0
DES1014,5/25/2014,JV,W,5,Perennial grass,0,0
DES1014,5/25/2014,JV,W,5,Annual forb,0,0
DES1014,5/25/2014,JV,W,5,Perennial forb ,0,0
DES1014,5/25/2014,JV,W,5,Shrub ,3,37.5
DES1014,5/25/2014,JV,W,5,Bare Ground,0,0
DES1014,5/25/2014,JV,W,5,Litter,2,15
DES1014,5/25/2014,JV,W,5,Gravel,0,0
DES1014,5/25/2014,JV,W,5,Rock,6,97.5
DES1014,5/25/2014,JV,W,5,Crust,0,0
DES1014,5/25/2014,JV,W,10,Cheatgrass,0,0
DES1014,5/25/2014,JV,W,10,Other Ann Grass,0,0
DES1014,5/25/2014,JV,W,10,Perennial grass,0,0
DES1014,5/25/2014,JV,W,10,Annual forb,0,0
DES1014,5/25/2014,JV,W,10,Perennial forb ,0,0
DES1014,5/25/2014,JV,W,10,Shrub ,1,2.5
DES1014,5/25/2014,JV,W,10,Bare Ground,3,37.5
DES1014,5/25/2014,JV,W,10,Litter,1,2.5
DES1014,5/25/2014,JV,W,10,Gravel,0,0
DES1014,5/25/2014,JV,W,10,Rock,0,0
DES1014,5/25/2014,JV,W,10,Crust,0,0
DES1014,5/25/2014,JV,W,16,Cheatgrass,1,2.5
DES1014,5/25/2014,JV,W,16,Other Ann Grass,0,0
DES1014,5/25/2014,JV,W,16,Perennial grass,0,0
DES1014,5/25/2014,JV,W,16,Annual forb,1,2.5
DES1014,5/25/2014,JV,W,16,Perennial forb ,1,2.5
DES1014,5/25/2014,JV,W,16,Shrub ,1,2.5
DES1014,5/25/2014,JV,W,16,Bare Ground,5,85
DES1014,5/25/2014,JV,W,16,Litter,1,2.5
DES1014,5/25/2014,JV,W,16,Gravel,0,0
DES1014,5/25/2014,JV,W,16,Rock,0,0
DES1014,5/25/2014,JV,W,16,Crust,0,0
DES1014120,5/27/2015,PJ,E,2,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,E,2,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,E,2,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,E,2,Annual forb,0,0
DES1014120,5/27/2015,PJ,E,2,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,E,2,Shrub ,0,0
DES1014120,5/27/2015,PJ,E,2,Bare Ground,4,62.5
DES1014120,5/27/2015,PJ,E,2,Litter,1,2.5
DES1014120,5/27/2015,PJ,E,2,Gravel,2,15
DES1014120,5/27/2015,PJ,E,2,Rock,2,15
DES1014120,5/27/2015,PJ,E,2,Crust,0,0
DES1014120,5/27/2015,PJ,E,4,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,E,4,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,E,4,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,E,4,Annual forb,0,0
DES1014120,5/27/2015,PJ,E,4,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,E,4,Shrub ,0,0
DES1014120,5/27/2015,PJ,E,4,Bare Ground,2,15
DES1014120,5/27/2015,PJ,E,4,Litter,3,37.5
DES1014120,5/27/2015,PJ,E,4,Gravel,3,37.5
DES1014120,5/27/2015,PJ,E,4,Rock,2,15
DES1014120,5/27/2015,PJ,E,4,Crust,0,0
DES1014120,5/27/2015,PJ,E,7,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,E,7,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,E,7,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,E,7,Annual forb,0,0
DES1014120,5/27/2015,PJ,E,7,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,E,7,Shrub ,0,0
DES1014120,5/27/2015,PJ,E,7,Bare Ground,2,15
DES1014120,5/27/2015,PJ,E,7,Litter,1,2.5
DES1014120,5/27/2015,PJ,E,7,Gravel,3,37.5
DES1014120,5/27/2015,PJ,E,7,Rock,2,15
DES1014120,5/27/2015,PJ,E,7,Crust,0,0
DES1014120,5/27/2015,PJ,E,8,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,E,8,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,E,8,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,E,8,Annual forb,0,0
DES1014120,5/27/2015,PJ,E,8,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,E,8,Shrub ,0,0
DES1014120,5/27/2015,PJ,E,8,Bare Ground,3,37.5
DES1014120,5/27/2015,PJ,E,8,Litter,0,0
DES1014120,5/27/2015,PJ,E,8,Gravel,2,15
DES1014120,5/27/2015,PJ,E,8,Rock,2,15
DES1014120,5/27/2015,PJ,E,8,Crust,0,0
DES1014120,5/27/2015,PJ,E,11,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,E,11,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,E,11,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,E,11,Annual forb,0,0
DES1014120,5/27/2015,PJ,E,11,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,E,11,Shrub ,0,0
DES1014120,5/27/2015,PJ,E,11,Bare Ground,2,15
DES1014120,5/27/2015,PJ,E,11,Litter,4,62.5
DES1014120,5/27/2015,PJ,E,11,Gravel,2,15
DES1014120,5/27/2015,PJ,E,11,Rock,1,2.5
DES1014120,5/27/2015,PJ,E,11,Crust,0,0
DES1014120,5/27/2015,PJ,N,1,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,N,1,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,N,1,Perennial grass,2,15
DES1014120,5/27/2015,PJ,N,1,Annual forb,0,0
DES1014120,5/27/2015,PJ,N,1,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,N,1,Shrub ,0,0
DES1014120,5/27/2015,PJ,N,1,Bare Ground,1,2.5
DES1014120,5/27/2015,PJ,N,1,Litter,5,85
DES1014120,5/27/2015,PJ,N,1,Gravel,1,2.5
DES1014120,5/27/2015,PJ,N,1,Rock,2,15
DES1014120,5/27/2015,PJ,N,1,Crust,0,0
DES1014120,5/27/2015,PJ,N,5,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,N,5,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,N,5,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,N,5,Annual forb,0,0
DES1014120,5/27/2015,PJ,N,5,Perennial forb ,0,0
DES1014120,5/27/2015,PJ,N,5,Shrub ,0,0
DES1014120,5/27/2015,PJ,N,5,Bare Ground,1,2.5
DES1014120,5/27/2015,PJ,N,5,Litter,5,85
DES1014120,5/27/2015,PJ,N,5,Gravel,0,0
DES1014120,5/27/2015,PJ,N,5,Rock,2,15
DES1014120,5/27/2015,PJ,N,5,Crust,0,0
DES1014120,5/27/2015,PJ,N,6,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,N,6,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,N,6,Perennial grass,2,15
DES1014120,5/27/2015,PJ,N,6,Annual forb,0,0
DES1014120,5/27/2015,PJ,N,6,Perennial forb ,0,0
DES1014120,5/27/2015,PJ,N,6,Shrub ,0,0
DES1014120,5/27/2015,PJ,N,6,Bare Ground,2,15
DES1014120,5/27/2015,PJ,N,6,Litter,4,62.5
DES1014120,5/27/2015,PJ,N,6,Gravel,0,0
DES1014120,5/27/2015,PJ,N,6,Rock,0,0
DES1014120,5/27/2015,PJ,N,6,Crust,0,0
DES1014120,5/27/2015,PJ,N,9,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,N,9,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,N,9,Perennial grass,2,15
DES1014120,5/27/2015,PJ,N,9,Annual forb,0,0
DES1014120,5/27/2015,PJ,N,9,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,N,9,Shrub ,0,0
DES1014120,5/27/2015,PJ,N,9,Bare Ground,3,37.5
DES1014120,5/27/2015,PJ,N,9,Litter,2,15
DES1014120,5/27/2015,PJ,N,9,Gravel,2,15
DES1014120,5/27/2015,PJ,N,9,Rock,2,15
DES1014120,5/27/2015,PJ,N,9,Crust,0,0
DES1014120,5/27/2015,PJ,N,14,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,N,14,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,N,14,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,N,14,Annual forb,0,0
DES1014120,5/27/2015,PJ,N,14,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,N,14,Shrub ,0,0
DES1014120,5/27/2015,PJ,N,14,Bare Ground,3,37.5
DES1014120,5/27/2015,PJ,N,14,Litter,2,15
DES1014120,5/27/2015,PJ,N,14,Gravel,1,2.5
DES1014120,5/27/2015,PJ,N,14,Rock,2,15
DES1014120,5/27/2015,PJ,N,14,Crust,0,0
DES1014120,5/27/2015,PJ,S,3,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,S,3,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,S,3,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,S,3,Annual forb,0,0
DES1014120,5/27/2015,PJ,S,3,Perennial forb ,0,0
DES1014120,5/27/2015,PJ,S,3,Shrub ,0,0
DES1014120,5/27/2015,PJ,S,3,Bare Ground,0,0
DES1014120,5/27/2015,PJ,S,3,Litter,6,97.5
DES1014120,5/27/2015,PJ,S,3,Gravel,0,0
DES1014120,5/27/2015,PJ,S,3,Rock,0,0
DES1014120,5/27/2015,PJ,S,3,Crust,0,0
DES1014120,5/27/2015,PJ,S,6,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,S,6,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,S,6,Perennial grass,0,0
DES1014120,5/27/2015,PJ,S,6,Annual forb,0,0
DES1014120,5/27/2015,PJ,S,6,Perennial forb ,0,0
DES1014120,5/27/2015,PJ,S,6,Shrub ,0,0
DES1014120,5/27/2015,PJ,S,6,Bare Ground,1,2.5
DES1014120,5/27/2015,PJ,S,6,Litter,6,97.5
DES1014120,5/27/2015,PJ,S,6,Gravel,0,0
DES1014120,5/27/2015,PJ,S,6,Rock,0,0
DES1014120,5/27/2015,PJ,S,6,Crust,0,0
DES1014120,5/27/2015,PJ,S,7,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,S,7,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,S,7,Perennial grass,0,0
DES1014120,5/27/2015,PJ,S,7,Annual forb,0,0
DES1014120,5/27/2015,PJ,S,7,Perennial forb ,0,0
DES1014120,5/27/2015,PJ,S,7,Shrub ,0,0
DES1014120,5/27/2015,PJ,S,7,Bare Ground,2,15
DES1014120,5/27/2015,PJ,S,7,Litter,4,62.5
DES1014120,5/27/2015,PJ,S,7,Gravel,1,2.5
DES1014120,5/27/2015,PJ,S,7,Rock,2,15
DES1014120,5/27/2015,PJ,S,7,Crust,0,0
DES1014120,5/27/2015,PJ,S,8,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,S,8,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,S,8,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,S,8,Annual forb,0,0
DES1014120,5/27/2015,PJ,S,8,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,S,8,Shrub ,0,0
DES1014120,5/27/2015,PJ,S,8,Bare Ground,5,85
DES1014120,5/27/2015,PJ,S,8,Litter,1,2.5
DES1014120,5/27/2015,PJ,S,8,Gravel,1,2.5
DES1014120,5/27/2015,PJ,S,8,Rock,1,2.5
DES1014120,5/27/2015,PJ,S,8,Crust,0,0
DES1014120,5/27/2015,PJ,S,9,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,S,9,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,S,9,Perennial grass,0,0
DES1014120,5/27/2015,PJ,S,9,Annual forb,0,0
DES1014120,5/27/2015,PJ,S,9,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,S,9,Shrub ,0,0
DES1014120,5/27/2015,PJ,S,9,Bare Ground,4,62.5
DES1014120,5/27/2015,PJ,S,9,Litter,1,2.5
DES1014120,5/27/2015,PJ,S,9,Gravel,2,15
DES1014120,5/27/2015,PJ,S,9,Rock,2,15
DES1014120,5/27/2015,PJ,S,9,Crust,0,0
DES1014120,5/27/2015,PJ,W,2,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,W,2,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,W,2,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,W,2,Annual forb,0,0
DES1014120,5/27/2015,PJ,W,2,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,W,2,Shrub ,0,0
DES1014120,5/27/2015,PJ,W,2,Bare Ground,4,62.5
DES1014120,5/27/2015,PJ,W,2,Litter,3,37.5
DES1014120,5/27/2015,PJ,W,2,Gravel,1,2.5
DES1014120,5/27/2015,PJ,W,2,Rock,2,15
DES1014120,5/27/2015,PJ,W,2,Crust,0,0
DES1014120,5/27/2015,PJ,W,3,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,W,3,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,W,3,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,W,3,Annual forb,0,0
DES1014120,5/27/2015,PJ,W,3,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,W,3,Shrub ,0,0
DES1014120,5/27/2015,PJ,W,3,Bare Ground,2,15
DES1014120,5/27/2015,PJ,W,3,Litter,3,37.5
DES1014120,5/27/2015,PJ,W,3,Gravel,2,15
DES1014120,5/27/2015,PJ,W,3,Rock,2,15
DES1014120,5/27/2015,PJ,W,3,Crust,0,0
DES1014120,5/27/2015,PJ,W,8,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,W,8,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,W,8,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,W,8,Annual forb,0,0
DES1014120,5/27/2015,PJ,W,8,Perennial forb ,1,2.5
DES1014120,5/27/2015,PJ,W,8,Shrub ,0,0
DES1014120,5/27/2015,PJ,W,8,Bare Ground,4,62.5
DES1014120,5/27/2015,PJ,W,8,Litter,1,2.5
DES1014120,5/27/2015,PJ,W,8,Gravel,2,15
DES1014120,5/27/2015,PJ,W,8,Rock,2,15
DES1014120,5/27/2015,PJ,W,8,Crust,1,2.5
DES1014120,5/27/2015,PJ,W,9,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,W,9,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,W,9,Perennial grass,1,2.5
DES1014120,5/27/2015,PJ,W,9,Annual forb,0,0
DES1014120,5/27/2015,PJ,W,9,Perennial forb ,2,15
DES1014120,5/27/2015,PJ,W,9,Shrub ,0,0
DES1014120,5/27/2015,PJ,W,9,Bare Ground,3,37.5
DES1014120,5/27/2015,PJ,W,9,Litter,1,2.5
DES1014120,5/27/2015,PJ,W,9,Gravel,3,37.5
DES1014120,5/27/2015,PJ,W,9,Rock,1,2.5
DES1014120,5/27/2015,PJ,W,9,Crust,0,0
DES1014120,5/27/2015,PJ,W,15,Cheatgrass,0,0
DES1014120,5/27/2015,PJ,W,15,Other Ann Grass,0,0
DES1014120,5/27/2015,PJ,W,15,Perennial grass,2,15
DES1014120,5/27/2015,PJ,W,15,Annual forb,0,0
DES1014120,5/27/2015,PJ,W,15,Perennial forb ,0,0
DES1014120,5/27/2015,PJ,W,15,Shrub ,0,0
DES1014120,5/27/2015,PJ,W,15,Bare Ground,4,62.5
DES1014120,5/27/2015,PJ,W,15,Litter,2,15
DES1014120,5/27/2015,PJ,W,15,Gravel,1,2.5
DES1014120,5/27/2015,PJ,W,15,Rock,1,2.5
DES1014120,5/27/2015,PJ,W,15,Crust,0,0
DES1014240,5/26/2015,SF,E,3,Cheatgrass,0,0
DES1014240,5/26/2015,SF,E,3,Other Ann Grass,0,0
DES1014240,5/26/2015,SF,E,3,Perennial grass,1,2.5
DES1014240,5/26/2015,SF,E,3,Annual forb,0,0
DES1014240,5/26/2015,SF,E,3,Perennial forb ,0,0
DES1014240,5/26/2015,SF,E,3,Shrub ,0,0
DES1014240,5/26/2015,SF,E,3,Bare Ground,4,62.5
DES1014240,5/26/2015,SF,E,3,Litter,2,15
DES1014240,5/26/2015,SF,E,3,Gravel,2,15
DES1014240,5/26/2015,SF,E,3,Rock,0,0
DES1014240,5/26/2015,SF,E,3,Crust,0,0
DES1014240,5/26/2015,SF,E,12,Cheatgrass,1,2.5
