Plot,Date,Observers,Transect,Meter,Species,Cover
SHO424360,8/4/2015,JV,S,12,ARTARB,0
SHO424360,8/4/2015,JV,S,13,POASEC,0
SHO424360,8/4/2015,JV,S,13,ARTARB,0
SHO424360,8/4/2015,JV,S,14,POASEC,0
SHO424360,8/4/2015,JV,S,14,ARTARB,0
SHO424360,8/4/2015,JV,W,1,POASEC,4
SHO424360,8/4/2015,JV,W,7,POASEC,1
SHO424360,8/4/2015,JV,W,8,POASEC,3
SHO424360,8/4/2015,JV,W,11,POASEC,1
SHO424360,8/4/2015,JV,W,12,POASEC,0
SS604,8/2/2015,EK,N,4,ARTTRIV,25
SS604,8/2/2015,EK,N,4,POASEC,0
SS604,8/2/2015,EK,N,7,ARTTRIV,0
SS604,8/2/2015,EK,N,7,POASEC,0
SS604,8/2/2015,EK,N,9,ARTTRIV,0
SS604,8/2/2015,EK,N,9,POASEC,8
SS604,8/2/2015,EK,N,11,ARTTRIV,0
SS604,8/2/2015,EK,N,11,POASEC,0
SS604,8/2/2015,EK,N,13,ARTTRIV,0
SS604,8/2/2015,EK,N,13,POASEC,24
SS604,8/2/2015,EK,S,4,POASEC,0
SS604,8/2/2015,EK,S,4,ARTTRIV,0
SS604,8/2/2015,EK,S,7,POASEC,6
SS604,8/2/2015,EK,S,7,ARTTRIV,0
SS604,8/2/2015,EK,S,10,POASEC,3
SS604,8/2/2015,EK,S,10,ARTTRIV,5
SS604,8/2/2015,EK,S,13,POASEC,24
SS604,8/2/2015,EK,S,13,ARTTRIV,10
SS604,8/2/2015,EK,S,16,POASEC,0
SS604,8/2/2015,EK,S,16,ARTTRIV,0
SS604,8/2/2015,JV,E,2,POASEC,1
SS604,8/2/2015,JV,E,2,ELYELY,0
SS604,8/2/2015,JV,E,2,ARTTRIV,0
SS604,8/2/2015,JV,E,6,POASEC,1
SS604,8/2/2015,JV,E,6,ELYELY,2
SS604,8/2/2015,JV,E,6,ARTTRIV,0
SS604,8/2/2015,JV,E,11,POASEC,0
SS604,8/2/2015,JV,E,11,ELYELY,3
SS604,8/2/2015,JV,E,11,ARTTRIV,5
SS604,8/2/2015,JV,E,12,POASEC,0
SS604,8/2/2015,JV,E,12,ELYELY,1
SS604,8/2/2015,JV,E,12,ARTTRIV,0
SS604,8/2/2015,JV,E,16,POASEC,0
SS604,8/2/2015,JV,E,16,ELYELY,3
SS604,8/2/2015,JV,E,16,ARTTRIV,0
SS604,8/2/2015,JV,W,2,POASEC,0
SS604,8/2/2015,JV,W,4,POASEC,0
SS604,8/2/2015,JV,W,7,POASEC,5
SS604,8/2/2015,JV,W,14,POASEC,0
SS604,8/2/2015,JV,W,15,POASEC,0
SS604120,8/2/2015,JV,N,2,ELYELY,0
SS604120,8/2/2015,JV,N,2,FESIDA,0
SS604120,8/2/2015,JV,N,2,ARTTRIV,0
SS604120,8/2/2015,JV,N,2,POASEC,0
SS604120,8/2/2015,JV,N,5,ELYELY,1
SS604120,8/2/2015,JV,N,5,FESIDA,0
SS604120,8/2/2015,JV,N,5,ARTTRIV,0
SS604120,8/2/2015,JV,N,5,POASEC,0
SS604120,8/2/2015,JV,N,8,ELYELY,0
SS604120,8/2/2015,JV,N,8,FESIDA,1
SS604120,8/2/2015,JV,N,8,ARTTRIV,0
SS604120,8/2/2015,JV,N,8,POASEC,0
SS604120,8/2/2015,JV,N,11,ELYELY,0
SS604120,8/2/2015,JV,N,11,FESIDA,3
SS604120,8/2/2015,JV,N,11,ARTTRIV,5
SS604120,8/2/2015,JV,N,11,POASEC,1
SS604120,8/2/2015,JV,N,15,ELYELY,2
SS604120,8/2/2015,JV,N,15,FESIDA,1
SS604120,8/2/2015,JV,N,15,ARTTRIV,5
SS604120,8/2/2015,JV,N,15,POASEC,0
SS604120,8/2/2015,JV,E,2,ARTTRIV,10
SS604120,8/2/2015,JV,E,2,CHRVIS,5
SS604120,8/2/2015,JV,E,2,ELYELY,1
SS604120,8/2/2015,JV,E,2,BROTEC,0
SS604120,8/2/2015,JV,E,2,FESIDA,0
SS604120,8/2/2015,JV,E,8,ARTTRIV,0
SS604120,8/2/2015,JV,E,8,CHRVIS,25
SS604120,8/2/2015,JV,E,8,ELYELY,0
SS604120,8/2/2015,JV,E,8,BROTEC,0
SS604120,8/2/2015,JV,E,8,FESIDA,0
SS604120,8/2/2015,JV,E,11,ARTTRIV,5
SS604120,8/2/2015,JV,E,11,CHRVIS,5
SS604120,8/2/2015,JV,E,11,ELYELY,0
SS604120,8/2/2015,JV,E,11,BROTEC,2
SS604120,8/2/2015,JV,E,11,FESIDA,0
SS604120,8/2/2015,JV,E,12,ARTTRIV,2
SS604120,8/2/2015,JV,E,12,CHRVIS,0
SS604120,8/2/2015,JV,E,12,ELYELY,0
SS604120,8/2/2015,JV,E,12,BROTEC,0
SS604120,8/2/2015,JV,E,12,FESIDA,3
SS604120,8/2/2015,JV,E,16,ARTTRIV,3
SS604120,8/2/2015,JV,E,16,CHRVIS,0
SS604120,8/2/2015,JV,E,16,ELYELY,0
SS604120,8/2/2015,JV,E,16,BROTEC,0
SS604120,8/2/2015,JV,E,16,FESIDA,0
SS604120,8/2/2015,SF,S,4,POASEC,3
SS604120,8/2/2015,SF,S,4,ARTTRIV,2
SS604120,8/2/2015,SF,S,4,PENEAT,0
SS604120,8/2/2015,SF,S,4,ERINAU,0
SS604120,8/2/2015,SF,S,6,POASEC,6
SS604120,8/2/2015,SF,S,6,ARTTRIV,2
SS604120,8/2/2015,SF,S,6,PENEAT,1
SS604120,8/2/2015,SF,S,6,ERINAU,0
SS604120,8/2/2015,SF,S,8,POASEC,9
SS604120,8/2/2015,SF,S,8,ARTTRIV,40
SS604120,8/2/2015,SF,S,8,PENEAT,0
SS604120,8/2/2015,SF,S,8,ERINAU,0
SS604120,8/2/2015,SF,S,12,POASEC,9
SS604120,8/2/2015,SF,S,12,ARTTRIV,20
SS604120,8/2/2015,SF,S,12,PENEAT,0
SS604120,8/2/2015,SF,S,12,ERINAU,0
SS604120,8/2/2015,SF,S,15,POASEC,7
SS604120,8/2/2015,SF,S,15,ARTTRIV,1
SS604120,8/2/2015,SF,S,15,PENEAT,0
SS604120,8/2/2015,SF,S,15,ERINAU,3
SS604120,8/2/2015,SF,W,5,POASEC,11
SS604120,8/2/2015,SF,W,5,ARTTRIV,45
SS604120,8/2/2015,SF,W,6,POASEC,3
SS604120,8/2/2015,SF,W,6,ARTTRIV,15
SS604120,8/2/2015,SF,W,10,POASEC,6
SS604120,8/2/2015,SF,W,10,ARTTRIV,20
SS604120,8/2/2015,SF,W,11,POASEC,4
SS604120,8/2/2015,SF,W,11,ARTTRIV,2
SS604120,8/2/2015,SF,W,14,POASEC,4
SS604120,8/2/2015,SF,W,14,ARTTRIV,12
SS604240,8/2/2015,SF,N,6,ELYELY,0
SS604240,8/2/2015,SF,N,6,ARTTRIV,0
SS604240,8/2/2015,SF,N,6,POASEC,0
SS604240,8/2/2015,SF,N,7,ELYELY,1
SS604240,8/2/2015,SF,N,7,ARTTRIV,0
SS604240,8/2/2015,SF,N,7,POASEC,0
SS604240,8/2/2015,SF,N,9,ELYELY,0
SS604240,8/2/2015,SF,N,9,ARTTRIV,40
SS604240,8/2/2015,SF,N,9,POASEC,2
SS604240,8/2/2015,SF,N,11,ELYELY,0
SS604240,8/2/2015,SF,N,11,ARTTRIV,0
SS604240,8/2/2015,SF,N,11,POASEC,2
SS604240,8/2/2015,SF,N,15,ELYELY,1
SS604240,8/2/2015,SF,N,15,ARTTRIV,0
SS604240,8/2/2015,SF,N,15,POASEC,6
SS604240,8/2/2015,SF,E,4,FESIDA,1
SS604240,8/2/2015,SF,E,4,POASEC,5
SS604240,8/2/2015,SF,E,4,ARTTRIV,15
SS604240,8/2/2015,SF,E,4,ELYELY,1
SS604240,8/2/2015,SF,E,6,FESIDA,0
SS604240,8/2/2015,SF,E,6,POASEC,3
SS604240,8/2/2015,SF,E,6,ARTTRIV,8
SS604240,8/2/2015,SF,E,6,ELYELY,0
SS604240,8/2/2015,SF,E,7,FESIDA,0
SS604240,8/2/2015,SF,E,7,POASEC,3
SS604240,8/2/2015,SF,E,7,ARTTRIV,70
SS604240,8/2/2015,SF,E,7,ELYELY,0
SS604240,8/2/2015,SF,E,13,FESIDA,3
SS604240,8/2/2015,SF,E,13,POASEC,0
SS604240,8/2/2015,SF,E,13,ARTTRIV,0
SS604240,8/2/2015,SF,E,13,ELYELY,0
SS604240,8/2/2015,SF,E,16,FESIDA,0
SS604240,8/2/2015,SF,E,16,POASEC,3
SS604240,8/2/2015,SF,E,16,ARTTRIV,0
SS604240,8/2/2015,SF,E,16,ELYELY,0
SS604240,8/2/2015,EK,S,2,POASEC,4
SS604240,8/2/2015,EK,S,2,FESIDA,2
SS604240,8/2/2015,EK,S,2,ARTTRIV,0
SS604240,8/2/2015,EK,S,5,POASEC,0
SS604240,8/2/2015,EK,S,5,FESIDA,0
SS604240,8/2/2015,EK,S,5,ARTTRIV,0
SS604240,8/2/2015,EK,S,8,POASEC,3
SS604240,8/2/2015,EK,S,8,FESIDA,0
SS604240,8/2/2015,EK,S,8,ARTTRIV,5
SS604240,8/2/2015,EK,S,9,POASEC,7
SS604240,8/2/2015,EK,S,9,FESIDA,2
SS604240,8/2/2015,EK,S,9,ARTTRIV,5
SS604240,8/2/2015,EK,S,16,POASEC,10
SS604240,8/2/2015,EK,S,16,FESIDA,0
SS604240,8/2/2015,EK,S,16,ARTTRIV,30
SS604240,8/2/2015,EK,W,1,ARTTRIV,6
SS604240,8/2/2015,EK,W,1,FESIDA,2
SS604240,8/2/2015,EK,W,1,POASEC,0
SS604240,8/2/2015,EK,W,7,ARTTRIV,0
SS604240,8/2/2015,EK,W,7,FESIDA,0
SS604240,8/2/2015,EK,W,7,POASEC,1
SS604240,8/2/2015,EK,W,13,ARTTRIV,0
SS604240,8/2/2015,EK,W,13,FESIDA,0
SS604240,8/2/2015,EK,W,13,POASEC,0
SS604240,8/2/2015,EK,W,15,ARTTRIV,0
SS604240,8/2/2015,EK,W,15,FESIDA,0
SS604240,8/2/2015,EK,W,15,POASEC,0
SS604240,8/2/2015,EK,W,16,ARTTRIV,0
SS604240,8/2/2015,EK,W,16,FESIDA,0
SS604240,8/2/2015,EK,W,16,POASEC,6
SS604360,8/2/2015,JV,N,2,ARTTRIV,10
SS604360,8/2/2015,JV,N,2,FESIDA,0
SS604360,8/2/2015,JV,N,4,ARTTRIV,0
SS604360,8/2/2015,JV,N,4,FESIDA,0
SS604360,8/2/2015,JV,N,9,ARTTRIV,0
SS604360,8/2/2015,JV,N,9,FESIDA,0
SS604360,8/2/2015,JV,N,11,ARTTRIV,4
SS604360,8/2/2015,JV,N,11,FESIDA,2
SS604360,8/2/2015,JV,N,13,ARTTRIV,0
SS604360,8/2/2015,JV,N,13,FESIDA,1
SS604360,8/2/2015,JV,E,2,ARTTRIV,10
SS604360,8/2/2015,JV,E,2,FESIDA,0
SS604360,8/2/2015,JV,E,4,ARTTRIV,80
SS604360,8/2/2015,JV,E,4,FESIDA,0
SS604360,8/2/2015,JV,E,6,ARTTRIV,0
SS604360,8/2/2015,JV,E,6,FESIDA,1
SS604360,8/2/2015,JV,E,7,ARTTRIV,0
SS604360,8/2/2015,JV,E,7,FESIDA,0
SS604360,8/2/2015,JV,E,8,ARTTRIV,0
SS604360,8/2/2015,JV,E,8,FESIDA,3
SS604360,8/2/2015,SF,S,1,POASEC,4
SS604360,8/2/2015,SF,S,1,ARTTRIV,0
SS604360,8/2/2015,SF,S,7,POASEC,1
SS604360,8/2/2015,SF,S,7,ARTTRIV,0
SS604360,8/2/2015,SF,S,9,POASEC,2
SS604360,8/2/2015,SF,S,9,ARTTRIV,8
SS604360,8/2/2015,SF,S,10,POASEC,4
SS604360,8/2/2015,SF,S,10,ARTTRIV,10
SS604360,8/2/2015,SF,S,14,POASEC,6
SS604360,8/2/2015,SF,S,14,ARTTRIV,3
SS604360,8/2/2015,SF,W,1,POASEC,0
SS604360,8/2/2015,SF,W,1,ARTTRIV,0
SS604360,8/2/2015,SF,W,1,EPHVIR,0
SS604360,8/2/2015,SF,W,2,POASEC,1
SS604360,8/2/2015,SF,W,2,ARTTRIV,15
SS604360,8/2/2015,SF,W,2,EPHVIR,0
SS604360,8/2/2015,SF,W,3,POASEC,0
SS604360,8/2/2015,SF,W,3,ARTTRIV,15
SS604360,8/2/2015,SF,W,3,EPHVIR,3
SS604360,8/2/2015,SF,W,4,POASEC,0
SS604360,8/2/2015,SF,W,4,ARTTRIV,0
SS604360,8/2/2015,SF,W,4,EPHVIR,2
SS604360,8/2/2015,SF,W,5,POASEC,0
SS604360,8/2/2015,SF,W,5,ARTTRIV,0
SS604360,8/2/2015,SF,W,5,EPHVIR,0
SS32,8/2/2015,SF,N,1,POASEC,5
SS32,8/2/2015,SF,N,1,ARTARB,1
SS32,8/2/2015,SF,N,2,POASEC,4
SS32,8/2/2015,SF,N,2,ARTARB,0
SS32,8/2/2015,SF,N,13,POASEC,6
SS32,8/2/2015,SF,N,13,ARTARB,0
SS32,8/2/2015,SF,N,14,POASEC,4
SS32,8/2/2015,SF,N,14,ARTARB,0
SS32,8/2/2015,SF,N,16,POASEC,6
SS32,8/2/2015,SF,N,16,ARTARB,0
SS32,8/2/2015,SF,E,1,POASEC,3
SS32,8/2/2015,SF,E,1,ARTARB,8
SS32,8/2/2015,SF,E,1,STEACA,0
SS32,8/2/2015,SF,E,3,POASEC,2
SS32,8/2/2015,SF,E,3,ARTARB,13
SS32,8/2/2015,SF,E,3,STEACA,1
SS32,8/2/2015,SF,E,9,POASEC,2
SS32,8/2/2015,SF,E,9,ARTARB,3
SS32,8/2/2015,SF,E,9,STEACA,1
SS32,8/2/2015,SF,E,11,POASEC,1
SS32,8/2/2015,SF,E,11,ARTARB,7
SS32,8/2/2015,SF,E,11,STEACA,0
SS32,8/2/2015,SF,E,15,POASEC,0
SS32,8/2/2015,SF,E,15,ARTARB,22
SS32,8/2/2015,SF,E,15,STEACA,0
SS32,8/2/2015,JV,S,5,ARTARB,0
SS32,8/2/2015,JV,S,5,ARAHOL,0
SS32,8/2/2015,JV,S,5,PHLHOO,0
SS32,8/2/2015,JV,S,5,POASEC,0
SS32,8/2/2015,JV,S,9,ARTARB,15
SS32,8/2/2015,JV,S,9,ARAHOL,0
SS32,8/2/2015,JV,S,9,PHLHOO,0
SS32,8/2/2015,JV,S,9,POASEC,0
SS32,8/2/2015,JV,S,12,ARTARB,0
SS32,8/2/2015,JV,S,12,ARAHOL,1
SS32,8/2/2015,JV,S,12,PHLHOO,1
SS32,8/2/2015,JV,S,12,POASEC,1
SS32,8/2/2015,JV,S,14,ARTARB,0
SS32,8/2/2015,JV,S,14,ARAHOL,0
SS32,8/2/2015,JV,S,14,PHLHOO,0
